species,centrality,SE_centrality,track_proportions,SE_track_proportions,cribellum,web_type,back.forth
Agelenidae_Tegenaria_domestica,0.257221402,0.041574993,0.708381176,0.074579221,0,1,0
Toxopidae_Toxopsoides_sp,0.308837334,0.037107781,0.800830412,0.144872633,0,0,0
Toxopidae_Toxops_sp_CG278,0.1914485,0.016790033,0.779866228,0.150859748,0,0,0
Cycloctenidae_Cycloctenus_sp_CG98,0.226018057,0.018358031,NA,NA,0,0,NA
Cycloctenidae_Pakeha_sp_CG169,0.202277568,0.017739743,0.444657838,0.05051313,0,0,0
Desidae_Badumna_insignis,0.255670224,0.023956476,0.705450327,0.095164292,1,1,0
Desidae_Badumna_longinqua,0.221470065,0.019422925,NA,NA,1,1,NA
Desidae_Forsterina_sp,0.165604207,0.014523489,NA,NA,1,1,NA
Desidae_Paramatachia_sp_CG277,0.275109275,0.024127083,0.564113117,0.140277786,1,1,0
Desidae_Matachiinae_spec,0.249443139,0.021876163,0.688637036,0.016039343,1,1,0
Desidae_Metaltella_sp_CG60,0.182963398,0.01604589,NA,NA,1,1,NA
Desidae_Austmusia_wilsoni,0.269553304,0.014052706,0.47116379,0.013998891,0,1,0
Desidae_Barahna_sp_CG293,0.243114063,0.021321103,NA,NA,1,1,NA
Desidae_Cambridgea_plagiata,0.26980897,0.006557536,NA,NA,0,1,NA
Desidae_Cambridgea_sp_CG97,0.357044774,0.012381468,1.03471667,0.049371135,0,2,1
Stiphidiidae_Neolana_sp_CG121,0.193723749,0.045705352,0.556191632,0.024769755,1,1,0
Stiphidiidae_Stiphidion_sp,0.192965329,0.016923059,0.740121651,0.08407782,1,1,0
Stiphidiidae_Stiphidion_sp_CG91,0.226310167,0.019847402,NA,NA,1,1,NA
Stiphidiidae_Taurongia_sp,0.226473244,0.027743093,0.56643634,0.064347168,1,1,0
Stiphidiidae_Therlinya_sp_CG297,0.250474561,0.039051857,0.46324871,0.024288394,1,1,0
Dictynidae_Paradictyna_rufoflava,0.253829269,0.022260827,0.480688305,0.041592115,1,1,0
Dictynidae_Brigittea_latens,0.161910974,0.017273318,0.673701153,0.056754642,1,1,0
Amaurobiidae_Amaurobius_fenestralis,0.235673156,0.002663671,0.471932378,0.06299694,1,1,0
Sparassidae_Isopeda_parnabyi,0.237026102,0.032554694,0.871568236,0.119150091,0,0,0
Anyphaenidae_Amaurobioides_maritima,0.19686841,0.075586884,0.651096172,0.035472203,0,0,0
Anyphaenidae_Anyphaena_accentuata,0.224126551,0.005809917,0.695562264,0.111867042,0,0,0
Clubionidae_Clubiona_sp1,0.175509807,0.01539221,0.655105898,0.07442003,0,0,0
Clubionidae_Clubiona_sp2,0.240623103,0.021102646,0.484286834,0.055014984,0,0,0
Clubionidae_Clubiona_huttoni,0.223515066,0.019602271,0.88332402,0.100345609,0,0,0
Corinnidae_Leichhardteus_albofasciatus,0.258088952,0.030413012,0.566245115,0.111168305,0,0,0
Corinnidae_Nyssus_albomaculatus,0.205690478,0.018039055,0.706345445,0.055766543,0,0,0
Corinnidae_Nyssus_cf_coloripes,0.269796879,0.023661186,0.669496697,0.085829922,0,0,0
Eutichuridae_Calamoneta_sp_MR661,0.228351958,0.006452554,0.747289131,0.029799114,0,0,0
Miturgidae_Argoctenus_sp_CG26,0.160820387,0.014103948,0.53096701,0.060317852,0,0,0
Miturgidae_Mituliodon_tarantulinus,0.179188103,0.002022746,0.768896922,0.108161199,0,0,0
Miturgidae_Miturga_lineata,0.19196325,0.016835177,NA,NA,0,0,NA
Miturgidae_Nuliodon_fishburni,0.193388182,0.016960144,0.527393864,0.054308336,0,0,0
Philodromidae_Philodromus_aureolus,0.301159824,0.012185814,0.890860734,0.159019073,0,0,0
Philodromidae_Tibellus_chamberlini,0.255812792,0.022434782,0.955476119,0.108542087,0,0,0
Philodromidae_Tibellus_oblongus,0.291783149,0.042206451,NA,NA,0,0,NA
Salticidae_Opisthoncus_kochi,0.311345971,0.080766401,NA,NA,0,0,NA
Salticidae_Sandalodes_bipenicillatus,0.318894743,0.003137846,0.921010319,0.024973973,0,0,0
Salticidae_Servaea_incana,0.313980381,0.008997475,NA,NA,0,0,NA
Oxyopidae_Oxyopes_salticus,0.308989,0.01982541,1.049557169,0.041524561,0,0,0
Thomisidae_Australomisidia_pilula,0.411321406,0.023330262,0.760004824,0.062849488,0,0,0
Thomisidae_Tharpina_campestrata,0.334177508,0.029307367,NA,NA,0,0,NA
Thomisidae_Sidymella_angulata,0.319669628,0.015117455,0.911737615,0.103573393,0,0,0
Thomisidae_Stephanopis_cambridgei,0.283289783,0.01578015,0.995311072,0.099130364,0,0,0
Pisauridae_Dendrolycosa_cruciata,0.293739173,0.018499725,1.007508427,0.166044359,0,1,0
Pisauridae_Dolomedes_sp_CG96,0.256119415,0.033185163,1.186461514,0.155949289,0,0,0
Trechaleidae_Trechalea_bucculenta,0.328542187,0.02881315,NA,NA,0,0,NA
Zoropsidae_Kilyana_hendersoni,0.223441609,0.008553379,0.676513785,0.034967071,0,0,0
Zoropsidae_Zoropsis_spinimana,0.181580279,0.010195784,NA,NA,1,0,NA
Deinopidae_Deinopis_spinosa,0.27563075,0.011267564,0.438723126,0.05945597,1,2,0
Deinopidae_Menneus_camelus,0.291314741,0.025548303,NA,NA,1,2,NA
Titanoecidae_Goeldia_sp_MR17,0.28482742,0.024979365,NA,NA,1,1,NA
Hersiliidae_Tamopsis_sp2,0.2803208,0.018200888,0.900377261,0.158452963,0,0,0
Hersiliidae_Tamopsis_sp3,0.239126251,0.003387302,1.047957495,0.119047971,0,0,0
Hersiliidae_Hersilia_sericea,0.267112391,0.01781252,1.246959665,0.141654618,0,0,0
Oecobiidae_Oecobius_sp_TAB2009,0.17763535,0.014265174,0.635888644,0.077617826,1,1,0
Uloboridae_Philoponella_congregabilis,0.240524024,0.021093957,0.417490109,0.035596903,1,2,0
Uloboridae_Philoponella_variabilis,0.274907642,0.002889264,0.352564567,0.067698534,1,2,0
Uloboridae_Waitkera_waitakerensis,0.253997032,0.02227554,NA,NA,1,2,NA
Araneidae_Arachnura_logio,0.291520055,0.025566309,NA,NA,0,2,NA
Araneidae_Gasteracantha_cancriformis,0.317697741,0.015692869,NA,NA,0,2,NA
Araneidae_Poecilopachys_australasia,0.394286651,0.034578939,NA,NA,0,2,NA
Araneidae_Argiope_bruenicchi,0.340179626,0.016550295,0.923360362,0.054308336,0,2,1
Araneidae_Cyrtophora_citricola,0.330393179,0.012504301,0.759418047,0.043763754,0,2,1
Araneidae_Cyrtophora_moluccensis,0.395592396,0.034693453,NA,NA,0,2,NA
Araneidae_Eriophora_sp_GH7_GH21,0.38567654,0.015096633,0.851587255,0.069501708,0,2,1
Araneidae_Nephila_pilipes,0.343615029,0.024119479,1.19145312,0.141838232,0,2,1
Araneidae_Phonognatha_graeffei,0.353630498,0.005412415,1.132439333,0.043398409,0,2,1
Physoglenidae_Tupua_sp_CG299,0.27134198,0.023796692,NA,NA,0,1,NA
Linyphiidae_Linyphia_triangularis,0.381561996,0.028121772,0.947785175,0.054517558,0,2,NA
Pimoidae_Pimoa_altioculata,0.371227342,0.032556638,NA,NA,0,1,NA
Arkyidae_Arkys_curtulus,0.423875352,0.037173868,NA,NA,0,0,NA
Arkyidae_Arkys_furcatus,0.323672758,0.028386101,0.972277518,0.110450726,0,0,1
Arkyidae_Arkys_cornutus,0.250962947,0.02200945,0.745506122,0.084689495,0,0,1
Arkyidae_Arkys_lancearius,0.410882512,0.036034396,NA,NA,0,0,NA
Tetragnathidae_Leucauge_venusta,0.354851553,0.050316474,0.798899799,0.014712681,0,2,1
Tetragnathidae_Tetragnatha_sp_GH19_GH27,0.345996506,0.01290308,NA,NA,0,2,NA
Tetragnathidae_Meta_sp_GH47,0.241843142,0.021209644,NA,NA,0,2,NA
Mimetidae_Australomimetus_sp_NS112,0.378896939,0.039393294,0.947661142,0.140280959,0,0,0
Theridiidae_Cryptachaea_riparia,0.309027324,0.039830295,1.167747506,0.158133345,0,2,1
Theridiidae_Episinus_antipodianus,0.295070411,0.025877675,NA,NA,0,2,NA
Theridiidae_Dipoena_cf_hortoni,0.304734762,0.026725239,NA,NA,0,0,NA
Megadictynidae_Megadictyna_thilenii,0.317113442,0.040883979,0.445552156,0.074485693,1,1,0
Nicodamidae_Litodamus_olga,0.249581075,0.02188826,0.698461835,0.079345264,0,1,0
Nicodamidae_Oncodamus_decipiens,0.238268178,0.01549954,0.821652642,0.20801613,0,1,0
Nicodamidae_Dimidamus_dimidiatus,0.277452229,0.022290665,0.802663641,0.006826299,0,1,0
Eresidae_Eresus_walckenaeri,0.14689622,0.012882798,NA,NA,1,1,NA
Eresidae_Stegodyphus_lineatus,0.16563694,0.013618285,0.312248152,0.058380302,1,1,0
Austrochilidae_Hickmania_troglodytes,0.226731836,0.021614003,0.469603409,0.079783484,1,1,0
Gradungulidae_Tarlina_woodwardi,0.154196259,0.018440635,0.42080669,0.092455075,0,0,0
Dysderidae_Harpactea_hombergi,0.18727682,0.00650959,NA,NA,0,0,NA
Orsolobidae_Tasmanoonops_sp_MR690,0.122957099,0.010783338,NA,NA,0,0,NA
Segestriidae_Ariadna_boesenbergi,0.215217443,0.044730615,1.090516697,0.332265769,0,1,0
Segestriidae_Gippsicola_sp,0.168920906,0.014814363,0.884680798,0.100499739,0,1,0
Segestriidae_Segestria_senoculata,0.253639221,0.015613071,0.700091268,0.07344059,0,1,0
Pholcidae_Pholcus_phalangioides,0.332953519,0.039289927,1.029358938,0.032982078,0,2,0
Scytodidae_Scytodes_thoracica,0.143103306,0.02893294,0.486941143,0.055316514,0,0,0
Filistatidae_Filistata_insidiatrix,0.145737866,0.012781211,NA,NA,1,1,NA
Filistatidae_Kukulcania_hibernalis,0.093360914,0.008187752,0.384244816,0.040254237,1,1,0
Filistatidae_Pikelinia_tambilloi,0.094899961,0.01669481,0.336149048,0.030359281,1,1,0
Hypochilidae_Hypochilus_pococki,0.170448592,0.009857175,NA,NA,1,1,NA
