species,cribellum,web_type
Agelenidae_Tegenaria_domestica,no,basic
Amaurobiidae_Amaurobius_fenestralis,yes,basic
Cycloctenidae_Pakeha_sp_CG169,no,none
Anyphaenidae_Amaurobioides_maritima,no,none
Anyphaenidae_Anyphaena_accentuata,no,none
Araneidae_Eriophora_sp_GH7_GH21,no,aerial
Araneidae_Argiope_bruenicchi,no,aerial
Araneidae_Nephila_pilipes,no,aerial
Araneidae_Phonognatha_graeffei,no,aerial
Araneidae_Cyrtophora_citricola,no,aerial
Arkyidae_Arkys_furcatus,no,none
Arkyidae_Arkys_cornutus,no,none
Austrochilidae_Hickmania_troglodytes,yes,basic
Clubionidae_Clubiona_huttoni,no,none
Clubionidae_Clubiona_sp2,no,none
Clubionidae_Clubiona_sp1,no,none
Corinnidae_Nyssus_cf_coloripes,no,none
Corinnidae_Nyssus_albomaculatus,no,none
Corinnidae_Leichhardteus_albofasciatus,no,none
Deinopidae_Deinopis_spinosa,yes,aerial
Desidae_Badumna_insignis,yes,basic
Desidae_Paramatachia_sp_CG277,yes,aerial
Desidae_Austmusia_wilsoni,no,basic
Desidae_Matachiinae_spec,yes,basic
Stiphidiidae_Taurongia_sp,yes,basic
Desidae_Cambridgea_sp_CG97,no,aerial
Dictynidae_Brigittea_latens,yes,basic
Dictynidae_Paradictyna_rufoflava,yes,basic
Eresidae_Stegodyphus_lineatus,yes,basic
Eutichuridae_Calamoneta_sp_MR661,no,none
Filistatidae_Pikelinia_tambilloi,yes,basic
Filistatidae_Kukulcania_hibernalis,yes,basic
Gradungulidae_Tarlina_woodwardi,no,none
Hersiliidae_Hersilia_sericea,no,none
Hersiliidae_Tamopsis_sp3,no,none
Hersiliidae_Tamopsis_sp2,no,none
Linyphiidae_Linyphia_triangularis,no,aerial
Megadictynidae_Megadictyna_thilenii,yes,basic
Mimetidae_Australomimetus_sp_NS112,no,none
Miturgidae_Mituliodon_tarantulinus,no,none
Miturgidae_Nuliodon_fishburni,no,none
Miturgidae_Argoctenus_sp_CG26,no,none
Nicodamidae_Oncodamus_decipiens,no,basic
Nicodamidae_Litodamus_olga,no,basic
Nicodamidae_Dimidamus_dimidiatus,no,basic
Oecobiidae_Oecobius_sp_TAB2009,yes,basic
Oxyopidae_Oxyopes_salticus,no,none
Philodromidae_Tibellus_chamberlini,no,none
Philodromidae_Philodromus_aureolus,no,none
Pholcidae_Pholcus_phalangioides,no,aerial
Pisauridae_Dolomedes_sp_CG96,no,none
Pisauridae_Dendrolycosa_cruciata,no,basic
Salticidae_Sandalodes_bipenicillatus,no,none
Scytodidae_Scytodes_thoracica,no,none
Segestriidae_Ariadna_boesenbergi,no,basic
Segestriidae_Gippsicola_sp,no,basic
Segestriidae_Segestria_senoculata,no,basic
Sparassidae_Isopeda_parnabyi,no,none
Stiphidiidae_Stiphidion_sp,yes,basic
Stiphidiidae_Therlinya_sp_CG297,yes,basic
Stiphidiidae_Neolana_sp_CG121,yes,basic
Tetragnathidae_Leucauge_venusta,no,aerial
Thomisidae_Australomisidia_pilula,no,none
Thomisidae_Sidymella_angulata,no,none
Thomisidae_Stephanopis_cambridgei,no,none
Theridiidae_Cryptachaea_riparia,no,aerial
Toxopidae_Toxopsoides_sp,no,none
Toxopidae_Toxops_sp_CG278,no,none
Uloboridae_Philoponella_congregabilis,yes,aerial
Uloboridae_Philoponella_variabilis,yes,aerial
Zoropsidae_Kilyana_hendersoni,no,none
